"Params (C, Ïµ, tol)",Mean Squared Error,Standard Deviation
"(0.1, 0.01, 0.01)",0.005912780532705936,0.0002990174221288867
"(0.1, 0.01, 0.001)",0.005909894799080685,0.0003026069067388685
"(0.1, 0.01, 0.0001)",0.005910043322240534,0.00030193347724834967
"(0.1, 0.001, 0.01)",0.005893094276406403,0.0002927196164349322
"(0.1, 0.001, 0.001)",0.005885212239859222,0.00029484306137174323
"(0.1, 0.001, 0.0001)",0.0058857084806513554,0.0002949097864075817
"(0.1, 0.0001, 0.01)",0.005899000782958954,0.00029677868209856327
"(0.1, 0.0001, 0.001)",0.00588863548061404,0.00029747374776396135
"(0.1, 0.0001, 0.0001)",0.005887220621955994,0.0002971378699775044
"(0.25, 0.01, 0.01)",0.005020850674273644,0.0002422068261967925
"(0.25, 0.01, 0.001)",0.005019749127567269,0.00024084727511332435
"(0.25, 0.01, 0.0001)",0.005018390331196139,0.0002407203719584425
"(0.25, 0.001, 0.01)",0.005029058188442203,0.0002423307711741058
"(0.25, 0.001, 0.001)",0.005020110009938311,0.0002374477745212285
"(0.25, 0.001, 0.0001)",0.005020225901990848,0.0002377840770271961
"(0.25, 0.0001, 0.01)",0.005027273422418519,0.00023715916591013182
"(0.25, 0.0001, 0.001)",0.00502170273863786,0.0002391947858477512
"(0.25, 0.0001, 0.0001)",0.0050216345357653415,0.00023894106134155602
"(1, 0.01, 0.01)",0.00463918572222625,0.00023507693361549952
"(1, 0.01, 0.001)",0.004637743554894432,0.00023563162483290155
"(1, 0.01, 0.0001)",0.0046372906210306606,0.00023531536130746224
"(1, 0.001, 0.01)",0.004655752165845454,0.00023724554522129194
"(1, 0.001, 0.001)",0.004649526023008792,0.00023677491459154728
"(1, 0.001, 0.0001)",0.0046493909818747835,0.00023694685795309285
"(1, 0.0001, 0.01)",0.00465288772626494,0.00023421229142591985
"(1, 0.0001, 0.001)",0.004646082341108886,0.00023467498433342172
"(1, 0.0001, 0.0001)",0.004647493862719578,0.00023491468432411508
"(2.5, 0.01, 0.01)",0.004578785993250596,0.00023457139337895602
"(2.5, 0.01, 0.001)",0.0045769514676351295,0.00023714669094738994
"(2.5, 0.01, 0.0001)",0.004577298665172953,0.00023735649083515413
"(2.5, 0.001, 0.01)",0.004599941404312008,0.00023473116121262706
"(2.5, 0.001, 0.001)",0.004593915963478643,0.00023194631449604796
"(2.5, 0.001, 0.0001)",0.0045933400024218505,0.000231977534365032
"(2.5, 0.0001, 0.01)",0.004598797095999048,0.0002405261324904829
"(2.5, 0.0001, 0.001)",0.004596087601030722,0.0002326685595272443
"(2.5, 0.0001, 0.0001)",0.0045956796652071585,0.00023345844735344693
"(10, 0.01, 0.01)",0.004595879191784392,0.00024240306818451143
"(10, 0.01, 0.001)",0.004592207264105775,0.0002381465887679966
"(10, 0.01, 0.0001)",0.004592123647270947,0.0002385062004554018
"(10, 0.001, 0.01)",0.004612652954490202,0.00023766262462372693
"(10, 0.001, 0.001)",0.004610516881027206,0.00024005529999614268
"(10, 0.001, 0.0001)",0.004610063539711035,0.00024057498688333126
"(10, 0.0001, 0.01)",0.004623393120524734,0.00024320903357363731
"(10, 0.0001, 0.001)",0.004614189170138642,0.00024239749174548766
"(10, 0.0001, 0.0001)",0.0046142543868319934,0.00024199340147849417
"(25, 0.01, 0.01)",0.004644792214268366,0.00023894666728422893
"(25, 0.01, 0.001)",0.004644056431169386,0.0002409285812231381
"(25, 0.01, 0.0001)",0.004644006775408357,0.0002409448557768137
"(25, 0.001, 0.01)",0.004661194831100871,0.00023447223036498127
"(25, 0.001, 0.001)",0.0046570230699203175,0.00023238897090616315
"(25, 0.001, 0.0001)",0.004657988909535246,0.0002326293186924751
"(25, 0.0001, 0.01)",0.004664235516801027,0.00023126319397508694
"(25, 0.0001, 0.001)",0.0046581689321233905,0.0002310714828982984
"(25, 0.0001, 0.0001)",0.004658315762141095,0.0002306678870411651
